Time, Temperature, Pressure, Humidity, WindDirection(Degrees), Speed
091533,45,30.34,93,20.13,0
091039,45,30.34,93,4.65,2.25
090535,45,30.34,93,34.2,4.5
090033,45,30.34,93,1.09,3.37
085533,45,30.34,93,15.36,1.12
085024,45,30.34,93,15.8,1.12
084533,45,30.34,93,114.08,5.62
084035,45,30.33,93,162.33,9
083534,45,30.33,93,179.11,9
083023,45,30.33,93,169.51,3.37
082534,45,30.33,93,154.12,1.12
082034,45,30.33,93,154.11,1.12
081533,45,30.33,93,154.13,2.25
081037,45,30.33,93,153.32,2.25
080534,45,30.33,93,127.7,4.5
080036,45,30.33,93,179.68,7.87
075536,45,30.33,93,149.15,7.87
075034,45,30.33,93,199.1,7.87
074534,45,30.33,93,195.32,9
074034,45,30.33,93,182.68,5.62
073536,45,30.33,93,195.32,5.62
073033,45,30.33,93,156.65,7.87
072524,45,30.33,93,169.93,11.25
072034,45,30.33,93,151.32,9
071533,45,30.33,93,181.1,7.87
071023,45,30.32,93,199.72,7.87
070534,45,30.32,93,158.79,10.12
070034,45,30.31,93,166.27,6.75
065533,45,30.32,93,182.78,5.62
065034,45,30.32,93,190.59,7.87
064524,45,30.31,93,176.78,11.25
064036,45,30.31,93,183.76,10.12
063533,45,30.32,93,167.27,9
063034,45,30.31,93,174.86,11.25
062534,45,30.31,93,159.8,10.12
062033,45,30.31,93,159.34,9
061533,45,30.31,93,168.86,9
061024,45,30.31,93,136.66,7.87
060536,45,30.3,93,177.21,11.25
060033,45,30.3,93,182.59,11.25
055534,45,30.3,93,170.75,9
055037,45,30.3,93,131.48,2.25
054533,45,30.3,93,88.95,2.25
054033,45,30.3,93,116.96,6.75
053524,45,30.3,93,139.48,2.25
053034,45,30.3,93,155.88,0
052533,45,30.3,93,152.37,3.37
052036,45,30.3,93,171.07,4.5
051534,45,30.3,93,151.82,5.62
051034,45,30.3,93,156.64,3.37
050533,45,30.3,93,147.71,5.62
050033,45,30.3,93,101.69,0
045533,45,30.3,93,136.47,5.62
045033,45,30.3,93,153.99,7.87
044523,45,30.29,93,161.95,7.87
044034,45,30.29,93,154.46,7.87
043536,45,30.29,93,135.07,3.37
043033,45,30.3,93,89.92,4.5
042534,45,30.3,93,162.16,9
042036,45,30.3,93,132,2.25
041523,45,30.3,93,158.9,6.75
041034,45,30.3,93,180.1,9
040533,45,30.3,93,159.84,14.62
040033,45,30.3,93,167.06,10.12
035537,45,30.3,93,155.76,13.5
035024,45,30.3,93,169,9
034534,45,30.3,93,141.96,10.12
034036,45,30.3,93,164.32,3.37
033534,45,30.31,93,141.68,6.75
033034,45,30.31,93,140.27,5.62
032523,45,30.31,93,116.24,6.75
032036,45,30.3,93,100.97,1.12
031536,45,30.3,93,128.05,3.37
031024,45,30.3,93,133.03,3.37
030523,45,30.3,93,95.33,5.62
030033,45,30.3,93,177.31,3.37
025533,45,30.3,93,166.4,7.87
025034,45,30.3,93,169.45,4.5
024524,45,30.3,93,143.6,4.5
024034,45,30.3,93,169.33,4.5
023533,45,30.31,93,149.34,6.75
023034,45,30.31,93,137.37,4.5
022534,45,30.31,93,79.41,3.37
022023,45,30.31,93,126,2.25
021523,45,30.31,93,155.61,3.37
021033,45,30.32,93,114.86,4.5
020534,45,30.32,93,143.63,6.75
020033,45,30.32,93,131.44,1.12
015533,45,30.32,93,113.51,2.25
015034,45,30.32,93,128.14,3.37
014535,45,30.32,93,92.31,2.25
014034,45,30.32,93,140.83,2.25
013523,45,30.32,93,154.98,4.5
013036,45,30.32,93,129.11,3.37
012534,45,30.32,93,114.65,6.75
012034,45,30.33,93,136.46,6.75
011533,45,30.33,93,175.2,4.5
011033,45,30.33,93,153.89,2.25
010533,45,30.33,93,153.24,4.5
010034,45,30.33,93,154.35,4.5
