Mean Square Error (MSE) = 15751.919150872016
Average Difference = 46.68904069767442

ROW		|	PREDICTION	|	TARGET	|	ERROR
1		|	,000		|	89,750	|	89,750
2		|	,000		|	158,150	|	158,150
3		|	,000		|	212,000	|	212,000
4		|	,000		|	379,630	|	379,630
5		|	,000		|	401,470	|	401,470
6		|	,000		|	288,550	|	288,550
7		|	,000		|	442,700	|	442,700
8		|	,000		|	418,870	|	418,870
9		|	,000		|	416,950	|	416,950
10		|	,000		|	389,040	|	389,040
11		|	,000		|	441,060	|	441,060
12		|	,000		|	384,750	|	384,750
13		|	,000		|	202,380	|	202,380
14		|	,000		|	194,550	|	194,550
15		|	,000		|	179,370	|	179,370
16		|	,000		|	160,030	|	160,030
17		|	,000		|	149,450	|	149,450
18		|	,000		|	141,770	|	141,770
19		|	,000		|	86,890	|	86,890
20		|	,000		|	69,100	|	69,100
21		|	,000		|	67,390	|	67,390
22		|	,000		|	71,180	|	71,180
23		|	,000		|	88,550	|	88,550
24		|	,000		|	42,150	|	42,150
25		|	,000		|	27,260	|	27,260
26		|	,000		|	23,120	|	23,120
27		|	,000		|	20,130	|	20,130
28		|	,000		|	16,700	|	16,700
29		|	,000		|	13,380	|	13,380
30		|	,000		|	9,780	|	9,780
31		|	,000		|	6,450	|	6,450
32		|	,000		|	4,470	|	4,470
33		|	,000		|	2,420	|	2,420
34		|	,000		|	1,350	|	1,350
35		|	,000		|	1,240	|	1,240
36		|	,000		|	1,190	|	1,190
37		|	,000		|	1,220	|	1,220
38		|	,000		|	1,210	|	1,210
39		|	,000		|	1,250	|	1,250
40		|	,000		|	1,240	|	1,240
41		|	,000		|	1,210	|	1,210
42		|	,000		|	1,230	|	1,230
43		|	,000		|	1,210	|	1,210
44		|	,000		|	1,230	|	1,230
45		|	,000		|	1,200	|	1,200
46		|	,000		|	1,230	|	1,230
47		|	,000		|	1,240	|	1,240
48		|	,000		|	1,200	|	1,200
49		|	,000		|	1,240	|	1,240
50		|	,000		|	1,250	|	1,250
51		|	,000		|	1,220	|	1,220
52		|	,000		|	1,220	|	1,220
53		|	,000		|	1,220	|	1,220
54		|	,000		|	1,190	|	1,190
55		|	,000		|	1,260	|	1,260
