@relation arff

@attribute Time numeric
@attribute ' Temperature' numeric
@attribute ' Pressure' numeric
@attribute ' Humidity' numeric
@attribute ' WindDirection(Degrees)' numeric
@attribute ' Speed' numeric

@data
91533,45,30.34,93,20.13,0
91039,45,30.34,93,4.65,2.25
90535,45,30.34,93,34.2,4.5
90033,45,30.34,93,1.09,3.37
85533,45,30.34,93,15.36,1.12
85024,45,30.34,93,15.8,1.12
84533,45,30.34,93,114.08,5.62
84035,45,30.33,93,162.33,9
83534,45,30.33,93,179.11,9
83023,45,30.33,93,169.51,3.37
82534,45,30.33,93,154.12,1.12
82034,45,30.33,93,154.11,1.12
81533,45,30.33,93,154.13,2.25
81037,45,30.33,93,153.32,2.25
80534,45,30.33,93,127.7,4.5
80036,45,30.33,93,179.68,7.87
75536,45,30.33,93,149.15,7.87
75034,45,30.33,93,199.1,7.87
74534,45,30.33,93,195.32,9
74034,45,30.33,93,182.68,5.62
73536,45,30.33,93,195.32,5.62
73033,45,30.33,93,156.65,7.87
72524,45,30.33,93,169.93,11.25
72034,45,30.33,93,151.32,9
71533,45,30.33,93,181.1,7.87
71023,45,30.32,93,199.72,7.87
70534,45,30.32,93,158.79,10.12
70034,45,30.31,93,166.27,6.75
65533,45,30.32,93,182.78,5.62
65034,45,30.32,93,190.59,7.87
64524,45,30.31,93,176.78,11.25
64036,45,30.31,93,183.76,10.12
63533,45,30.32,93,167.27,9
63034,45,30.31,93,174.86,11.25
62534,45,30.31,93,159.8,10.12
62033,45,30.31,93,159.34,9
61533,45,30.31,93,168.86,9
61024,45,30.31,93,136.66,7.87
60536,45,30.3,93,177.21,11.25
60033,45,30.3,93,182.59,11.25
55534,45,30.3,93,170.75,9
55037,45,30.3,93,131.48,2.25
54533,45,30.3,93,88.95,2.25
54033,45,30.3,93,116.96,6.75
53524,45,30.3,93,139.48,2.25
53034,45,30.3,93,155.88,0
52533,45,30.3,93,152.37,3.37
52036,45,30.3,93,171.07,4.5
51534,45,30.3,93,151.82,5.62
51034,45,30.3,93,156.64,3.37
50533,45,30.3,93,147.71,5.62
50033,45,30.3,93,101.69,0
45533,45,30.3,93,136.47,5.62
45033,45,30.3,93,153.99,7.87
44523,45,30.29,93,161.95,7.87
44034,45,30.29,93,154.46,7.87
43536,45,30.29,93,135.07,3.37
43033,45,30.3,93,89.92,4.5
42534,45,30.3,93,162.16,9
42036,45,30.3,93,132,2.25
41523,45,30.3,93,158.9,6.75
41034,45,30.3,93,180.1,9
40533,45,30.3,93,159.84,14.62
40033,45,30.3,93,167.06,10.12
35537,45,30.3,93,155.76,13.5
35024,45,30.3,93,169,9
34534,45,30.3,93,141.96,10.12
34036,45,30.3,93,164.32,3.37
33534,45,30.31,93,141.68,6.75
33034,45,30.31,93,140.27,5.62
32523,45,30.31,93,116.24,6.75
32036,45,30.3,93,100.97,1.12
31536,45,30.3,93,128.05,3.37
31024,45,30.3,93,133.03,3.37
30523,45,30.3,93,95.33,5.62
30033,45,30.3,93,177.31,3.37
25533,45,30.3,93,166.4,7.87
25034,45,30.3,93,169.45,4.5
24524,45,30.3,93,143.6,4.5
24034,45,30.3,93,169.33,4.5
23533,45,30.31,93,149.34,6.75
23034,45,30.31,93,137.37,4.5
22534,45,30.31,93,79.41,3.37
22023,45,30.31,93,126,2.25
21523,45,30.31,93,155.61,3.37
21033,45,30.32,93,114.86,4.5
20534,45,30.32,93,143.63,6.75
20033,45,30.32,93,131.44,1.12
15533,45,30.32,93,113.51,2.25
15034,45,30.32,93,128.14,3.37
14535,45,30.32,93,92.31,2.25
14034,45,30.32,93,140.83,2.25
13523,45,30.32,93,154.98,4.5
13036,45,30.32,93,129.11,3.37
12534,45,30.32,93,114.65,6.75
12034,45,30.33,93,136.46,6.75
11533,45,30.33,93,175.2,4.5
11033,45,30.33,93,153.89,2.25
