@relation arff

@attribute Time numeric
@attribute ' Radiation' {'0 category','5 category','10 category','20 category','25 category','35 category','50 category','60 category','85 category','110 category','130 category','160 category','190 category','205 category','240 category','275 category','300 category','325 category','345 category','365 category','370 category','425 category','460 category','510 category','565 category','310 category','230 category','625 category','805 category','670 category','680 category','690 category','700 category','715 category','745 category','610 category','760 category','775 category','790 category','820 category','855 category','875 category','870 category','890 category','910 category','925 category','935 category','945 category','955 category','960 category','970 category','975 category','985 category','990 category','995 category','1005 category','1010 category','1015 category','1020 category','1025 category','1030 category','1035 category','1040 category','1000 category','980 category','965 category','915 category','900 category','880 category','840 category','830 category','815 category','800 category','785 category','770 category','755 category','740 category','720 category','705 category','685 category','655 category','635 category','620 category','595 category','580 category','560 category','540 category','520 category','500 category','480 category','440 category','415 category','395 category','375 category','355 category','305 category','280 category','250 category','220 category','165 category','15 category','30 category','45 category','80 category','105 category','155 category','180 category','210 category','295 category','315 category','340 category','405 category','380 category','400 category','420 category','445 category','505 category','600 category','640 category','675 category','725 category','780 category','825 category','845 category','850 category','895 category','905 category','950 category','940 category','920 category','885 category','860 category','730 category','695 category','660 category','605 category','585 category','545 category','525 category','485 category','465 category','385 category','320 category','270 category','215 category','40 category','55 category','65 category','75 category','200 category','115 category','95 category','150 category','135 category','140 category','175 category','120 category','145 category','255 category','515 category','225 category','265 category','260 category','930 category','645 category','750 category','285 category','330 category','170 category','245 category','350 category','455 category','1065 category','1385 category','1155 category','1150 category','1135 category','1300 category','1145 category','590 category','570 category','550 category','530 category','495 category','470 category','450 category','430 category','410 category','390 category','70 category','475 category','535 category','555 category','615 category','865 category','1050 category','835 category','665 category','650 category','630 category','195 category','185 category','100 category','90 category','235 category','335 category','795 category','435 category','1060 category','1070 category','1075 category','1045 category','765 category','360 category','125 category','290 category','1255 category','1220 category','1090 category','1095 category','735 category','1250 category','1170 category','1120 category','1105 category','1330 category','1235 category','1115 category','490 category','1055 category','710 category','810 category','1100 category','1110 category','1265 category','1205 category','575 category','1080 category','1085 category','1285 category','1160 category','1165 category','1225 category','1130 category','1190 category','1240 category','1185 category','1360 category','1180 category','1245 category','1195 category','1140 category','1600 category','1475 category','1370 category','1410 category','1200 category','1450 category','1175 category','1275 category','1260 category','1350 category','1420 category','1315 category','1280 category','1290 category','1230 category','1215 category'}
@attribute ' Temperature' numeric
@attribute ' Pressure' numeric
@attribute ' Humidity' numeric
@attribute ' WindDirection(Degrees)' numeric
@attribute ' Speed' numeric

@data
235526,'0 category',48,30.46,59,177.39,5.62
235023,'0 category',48,30.46,58,176.78,3.37
234526,'0 category',48,30.46,57,158.75,3.37
234021,'0 category',48,30.46,60,137.71,3.37
233524,'0 category',48,30.46,62,104.95,5.62
233024,'0 category',48,30.46,64,120.2,5.62
232519,'0 category',49,30.46,72,112.45,6.75
232022,'0 category',49,30.46,71,122.97,5.62
231522,'0 category',49,30.46,80,101.18,4.5
231022,'0 category',49,30.46,85,141.87,4.5
230523,'0 category',49,30.47,93,120.55,2.25
230025,'0 category',49,30.47,98,144.19,3.37
225520,'0 category',49,30.47,99,139.8,6.75
225019,'0 category',50,30.47,99,140.92,2.25
224531,'0 category',50,30.47,99,147.61,5.62
224023,'0 category',50,30.47,99,113.78,4.5
223519,'0 category',50,30.47,99,123.03,10.12
223022,'0 category',50,30.47,99,173.73,6.75
222519,'0 category',50,30.47,98,91.43,6.75
222022,'0 category',50,30.47,98,109.74,6.75
221522,'0 category',50,30.47,98,143.53,2.25
221021,'0 category',50,30.47,97,146.76,5.62
220520,'0 category',50,30.47,97,158.35,4.5
220026,'0 category',50,30.47,97,166.05,5.62
215520,'0 category',50,30.47,96,151.82,5.62
215032,'0 category',50,30.47,96,152.52,6.75
214528,'0 category',50,30.47,95,127.82,7.87
214020,'0 category',50,30.47,95,157.58,6.75
213521,'0 category',50,30.47,95,172.96,7.87
213021,'0 category',50,30.47,95,143.82,6.75
212522,'0 category',50,30.47,94,154.03,5.62
212021,'0 category',50,30.47,93,165.93,4.5
211523,'0 category',50,30.47,93,139.82,7.87
211020,'0 category',49,30.47,93,166.07,9
210526,'0 category',50,30.47,93,116.16,5.62
210020,'0 category',50,30.47,92,157.48,4.5
205518,'0 category',50,30.47,91,112.27,7.87
205020,'0 category',50,30.47,90,133.69,6.75
204524,'0 category',50,30.47,88,140.64,6.75
204019,'0 category',50,30.47,87,52.89,1.12
203519,'0 category',50,30.47,86,132.66,4.5
203018,'0 category',50,30.46,85,138.35,5.62
202520,'0 category',50,30.46,84,109.87,3.37
202023,'0 category',50,30.47,81,123.25,3.37
201520,'0 category',50,30.46,75,158.64,4.5
201022,'0 category',50,30.46,70,165.22,5.62
200522,'0 category',50,30.46,63,160.51,3.37
200018,'0 category',50,30.46,51,155.36,4.5
195523,'0 category',50,30.46,47,157.78,6.75
195022,'0 category',50,30.46,46,151.6,3.37
194525,'0 category',50,30.46,47,105.78,4.5
194022,'0 category',50,30.46,48,135.55,4.5
