id,day,hour,minute,consumption
hungary_pensionerHousehold_0,0,0,0,6
hungary_pensionerHousehold_0,0,0,30,8
hungary_pensionerHousehold_0,0,1,0,34
hungary_pensionerHousehold_0,0,1,30,9
hungary_pensionerHousehold_0,0,2,0,32
hungary_pensionerHousehold_0,0,2,30,25
hungary_pensionerHousehold_0,0,3,0,15
hungary_pensionerHousehold_0,0,3,30,29
hungary_pensionerHousehold_0,0,4,0,11
hungary_pensionerHousehold_0,0,4,30,9
hungary_pensionerHousehold_0,0,5,0,163
hungary_pensionerHousehold_0,0,5,30,150
hungary_pensionerHousehold_0,0,6,0,164
hungary_pensionerHousehold_0,0,6,30,156
hungary_pensionerHousehold_0,0,7,0,160
hungary_pensionerHousehold_0,0,7,30,161
hungary_pensionerHousehold_0,0,8,0,169
hungary_pensionerHousehold_0,0,8,30,149
hungary_pensionerHousehold_0,0,9,0,170
hungary_pensionerHousehold_0,0,9,30,163
hungary_pensionerHousehold_0,0,10,0,152
hungary_pensionerHousehold_0,0,10,30,156
hungary_pensionerHousehold_0,0,11,0,201
hungary_pensionerHousehold_0,0,11,30,194
hungary_pensionerHousehold_0,0,12,0,201
hungary_pensionerHousehold_0,0,12,30,206
hungary_pensionerHousehold_0,0,13,0,162
hungary_pensionerHousehold_0,0,13,30,161
hungary_pensionerHousehold_0,0,14,0,154
hungary_pensionerHousehold_0,0,14,30,165
hungary_pensionerHousehold_0,0,15,0,161
hungary_pensionerHousehold_0,0,15,30,165
hungary_pensionerHousehold_0,0,16,0,160
hungary_pensionerHousehold_0,0,16,30,154
hungary_pensionerHousehold_0,0,17,0,124
hungary_pensionerHousehold_0,0,17,30,114
hungary_pensionerHousehold_0,0,18,0,137
hungary_pensionerHousehold_0,0,18,30,119
hungary_pensionerHousehold_0,0,19,0,134
hungary_pensionerHousehold_0,0,19,30,138
hungary_pensionerHousehold_0,0,20,0,136
hungary_pensionerHousehold_0,0,20,30,116
hungary_pensionerHousehold_0,0,21,0,115
hungary_pensionerHousehold_0,0,21,30,116
hungary_pensionerHousehold_0,0,22,0,6
hungary_pensionerHousehold_0,0,22,30,10
hungary_pensionerHousehold_0,0,23,0,30
hungary_pensionerHousehold_0,0,23,30,9
hungary_pensionerHousehold_1,0,0,0,20
hungary_pensionerHousehold_1,0,0,30,19
hungary_pensionerHousehold_1,0,1,0,16
hungary_pensionerHousehold_1,0,1,30,30
hungary_pensionerHousehold_1,0,2,0,32
hungary_pensionerHousehold_1,0,2,30,15
hungary_pensionerHousehold_1,0,3,0,16
hungary_pensionerHousehold_1,0,3,30,14
hungary_pensionerHousehold_1,0,4,0,20
hungary_pensionerHousehold_1,0,4,30,30
hungary_pensionerHousehold_1,0,5,0,153
hungary_pensionerHousehold_1,0,5,30,149
hungary_pensionerHousehold_1,0,6,0,157
hungary_pensionerHousehold_1,0,6,30,149
hungary_pensionerHousehold_1,0,7,0,147
hungary_pensionerHousehold_1,0,7,30,150
hungary_pensionerHousehold_1,0,8,0,169
hungary_pensionerHousehold_1,0,8,30,150
hungary_pensionerHousehold_1,0,9,0,160
hungary_pensionerHousehold_1,0,9,30,160
hungary_pensionerHousehold_1,0,10,0,158
hungary_pensionerHousehold_1,0,10,30,149
hungary_pensionerHousehold_1,0,11,0,198
hungary_pensionerHousehold_1,0,11,30,187
hungary_pensionerHousehold_1,0,12,0,203
hungary_pensionerHousehold_1,0,12,30,191
hungary_pensionerHousehold_1,0,13,0,161
hungary_pensionerHousehold_1,0,13,30,170
hungary_pensionerHousehold_1,0,14,0,173
hungary_pensionerHousehold_1,0,14,30,147
hungary_pensionerHousehold_1,0,15,0,167
hungary_pensionerHousehold_1,0,15,30,161
hungary_pensionerHousehold_1,0,16,0,154
hungary_pensionerHousehold_1,0,16,30,150
hungary_pensionerHousehold_1,0,17,0,117
hungary_pensionerHousehold_1,0,17,30,136
