KWH JANUARY 2010, KWH FEBRUARY 2010, KWH MARCH 2010, KWH APRIL 2010, KWH MAY 2010, KWH JUNE 2010, KWH JULY 2010, KWH AUGUST 2010, KWH SEPTEMBER 2010, KWH OCTOBER 2010, KWH NOVEMBER 2010, KWH DECEMBER 2010
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7334, 7741, 4214, 4284, 2518, 4273, 4566, 2787, 3357, 5540, 15774, 19676
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 819, 619, 416, 138, 2
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1470, 1325, 294, 391, 366, 2204, 2345, 2032, 920, 586, 705, 785
2461, 4888, 2893, 2737, 2350, 3037, 3874, 4861, 5180, 2984, 2635, 3597
0, 0, 0, 0, 0, 511, 904, 1818, 1968, 738, 450, 2207
96, 202, 1837, 1118, 669, 889, 812, 1880, 1743, 696, 684, 903
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6113, 6669, 5851, 8723, 8025, 9396, 8373, 8889, 9586, 9638, 8655, 10591
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 22, 32, 138, 54, 21, 18, 20, 3
1593, 1853, 1626, 1493, 1922, 3637, 3605, 3579, 2585, 1430, 1696, 1813
945, 698, 586, 934, 1007, 1419, 1892, 772, 485, 369, 1743, 2880
4006, 2918, 3124, 3237, 3736, 4965, 5382, 5033, 3393, 3548, 4041, 3929
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 426, 580
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27, 6, 2, 2, 4, 2, 2, 81, 21, 9, 7, 9
4016, 3374, 4761, 4466, 5602, 7171, 7485, 7045, 5551, 5394, 7694, 6962
