Mean Square Error (MSE) = 7437.075349478539
Average Difference = 42.87332136478282

ROW		|	PREDICTION	|	TARGET	|	ERROR
1		|	196,61		|	89,75	|	106.86353232998883
2		|	196,61		|	158,15	|	38.46353232998882
3		|	219,02		|	212,00	|	7.020955820476843
4		|	196,61		|	379,63	|	183.01646767001117
5		|	196,61		|	401,47	|	204.8564676700112
6		|	196,61		|	288,55	|	91.93646767001118
7		|	303,45		|	442,70	|	139.25037751285646
8		|	239,13		|	418,87	|	179.74339657444006
9		|	239,13		|	416,95	|	177.82339657444004
10		|	227,61		|	389,04	|	161.42677536231886
11		|	227,61		|	441,06	|	213.44677536231885
12		|	227,61		|	384,75	|	157.13677536231884
13		|	227,61		|	202,38	|	25.23322463768116
14		|	227,61		|	194,55	|	33.063224637681145
15		|	227,61		|	179,37	|	48.24322463768115
16		|	108,77		|	160,03	|	51.263688241106735
17		|	108,77		|	149,45	|	40.68368824110672
18		|	149,63		|	141,77	|	7.862844735720358
19		|	108,77		|	86,89	|	21.876311758893266
20		|	96,66		|	69,10	|	27.55648852657005
21		|	24,80		|	67,39	|	42.59223137973138
22		|	42,92		|	71,18	|	28.25961052836054
23		|	35,55		|	88,55	|	53.00010836385836
24		|	35,55		|	42,15	|	6.600108363858361
25		|	19,48		|	27,26	|	7.779484466151132
26		|	17,47		|	23,12	|	5.654501174588894
27		|	21,44		|	20,13	|	1.3077519118308594
28		|	19,82		|	16,70	|	3.1245940170940187
29		|	10,56		|	13,38	|	2.823972236445355
30		|	5,13		|	9,78	|	4.649566372247823
31		|	1,68		|	6,45	|	4.766576023391813
32		|	1,68		|	4,47	|	2.786576023391812
33		|	1,68		|	2,42	|	0.7365760233918126
34		|	1,55		|	1,35	|	0.20314327485380113
35		|	1,25		|	1,24	|	0.011255737911085806
36		|	1,25		|	1,19	|	0.06125573791108585
37		|	1,25		|	1,22	|	0.031255737911085824
38		|	1,21		|	1,21	|	0.0026804915514593297
39		|	1,25		|	1,25	|	0.001255737911085797
40		|	1,25		|	1,24	|	0.011255737911085806
41		|	1,25		|	1,21	|	0.04125573791108583
42		|	1,22		|	1,23	|	0.006883788254756107
43		|	1,29		|	1,21	|	0.08175403225806455
44		|	1,21		|	1,23	|	0.022680491551459347
45		|	1,22		|	1,20	|	0.02311621174524392
46		|	1,22		|	1,23	|	0.006883788254756107
47		|	1,22		|	1,24	|	0.020954301075268855
48		|	1,21		|	1,20	|	0.009956871085903263
49		|	1,22		|	1,24	|	0.023216205837173653
50		|	1,22		|	1,25	|	0.030954301075268864
51		|	1,22		|	1,22	|	0.0032162058371736357
52		|	1,29		|	1,22	|	0.07175403225806454
53		|	1,22		|	1,22	|	0.0032162058371736357
54		|	1,22		|	1,19	|	0.02678379416282639
55		|	1,22		|	1,26	|	0.04321620583717367
56		|	1,22		|	1,22	|	0.0032162058371736357
57		|	1,22		|	1,20	|	0.01904569892473118
58		|	1,85		|	1,27	|	0.5776714753222467
59		|	1,25		|	1,25	|	0.001255737911085797
60		|	1,22		|	1,20	|	0.02311621174524392
61		|	1,22		|	1,17	|	0.04678379416282641
62		|	1,25		|	1,24	|	0.011255737911085806
63		|	1,25		|	1,20	|	0.05125573791108584
64		|	1,25		|	1,19	|	0.06125573791108585
65		|	1,25		|	1,23	|	0.021255737911085815
66		|	1,25		|	1,17	|	0.08125573791108587
67		|	1,25		|	1,17	|	0.08125573791108587
68		|	1,22		|	1,27	|	0.05095430107526888
69		|	1,23		|	1,21	|	0.016884502923976585
70		|	1,23		|	1,19	|	0.0368845029239766
71		|	1,23		|	1,22	|	0.0068845029239765765
72		|	1,29		|	1,20	|	0.09387061403508778
73		|	1,22		|	1,20	|	0.02116228070175441
74		|	1,22		|	1,18	|	0.04116228070175443
75		|	1,86		|	1,19	|	0.6677721840833972
76		|	1,21		|	1,22	|	0.005664642375168727
77		|	1,22		|	1,19	|	0.025658119658119594
78		|	1,22		|	1,24	|	0.02434188034188045
79		|	1,22		|	1,22	|	0.0024850427350429083
80		|	1,22		|	1,23	|	0.014341880341880442
81		|	1,22		|	1,21	|	0.012485042735042917
82		|	1,22		|	1,23	|	0.007514957264957101
83		|	1,85		|	1,20	|	0.6476505016722409
84		|	1,22		|	1,21	|	0.010833333333333472
85		|	1,22		|	1,24	|	0.023237179487179294
86		|	1,22		|	1,21	|	0.012485042735042917
87		|	1,22		|	1,26	|	0.03751495726495713
88		|	1,22		|	1,28	|	0.05916666666666659
89		|	1,22		|	1,23	|	0.009166666666666545
90		|	1,22		|	1,23	|	0.013237179487179285
91		|	1,29		|	1,19	|	0.0994711538461539
92		|	1,22		|	1,16	|	0.06083333333333352
93		|	1,22		|	1,22	|	0.0024850427350429083
94		|	1,22		|	1,22	|	0.003237179487179276
95		|	1,22		|	1,23	|	0.007514957264957101
96		|	1,22		|	1,22	|	0.0024850427350429083
97		|	1,22		|	1,23	|	0.014341880341880442
98		|	1,22		|	1,23	|	0.014987179487179425
99		|	1,22		|	1,24	|	0.01926495726495725
100		|	1,22		|	1,20	|	0.020735042735042786
101		|	1,85		|	1,22	|	0.6276505016722409
102		|	1,85		|	1,20	|	0.6476505016722409
103		|	1,22		|	1,20	|	0.020735042735042786
104		|	1,22		|	1,23	|	0.014987179487179425
105		|	1,85		|	1,21	|	0.6418182367149761
106		|	1,85		|	1,23	|	0.6160960144927536
107		|	1,22		|	1,23	|	0.01081944444444427
108		|	1,25		|	1,25	|	0.002581627680311671
109		|	1,24		|	1,22	|	0.020774853801169613
110		|	1,22		|	1,22	|	0.004611111111111121
111		|	1,31		|	1,20	|	0.11153580246913575
112		|	1,31		|	1,20	|	0.11153580246913575
113		|	1,30		|	1,18	|	0.12314615419562958
114		|	1,39		|	1,22	|	0.16557252165706005
115		|	1,29		|	1,21	|	0.08383116883116903
116		|	1,88		|	1,21	|	0.666222222222222
117		|	1,21		|	1,24	|	0.028156789031402063
118		|	1,81		|	1,20	|	0.6117777777777775
119		|	1,28		|	1,24	|	0.04321212121212148
120		|	1,23		|	1,20	|	0.025021164021164166
121		|	1,40		|	1,22	|	0.18177009854429227
122		|	1,23		|	1,24	|	0.011701723462593128
123		|	1,45		|	1,22	|	0.23127419354838707
124		|	1,27		|	1,20	|	0.07464069264069284
125		|	1,29		|	1,20	|	0.09383116883116904
126		|	1,98		|	1,19	|	0.7898232323232321
127		|	1,31		|	1,22	|	0.09407407407407398
128		|	1,39		|	1,23	|	0.1590599472990777
129		|	1,47		|	1,20	|	0.27148631476050844
130		|	1,38		|	1,23	|	0.14729800307219665
131		|	1,32		|	1,22	|	0.09934373108286154
132		|	1,40		|	1,21	|	0.19177009854429228
133		|	1,21		|	1,23	|	0.021857769423559104
134		|	1,32		|	1,24	|	0.07934373108286152
135		|	1,37		|	1,19	|	0.17884782608695637
136		|	1,21		|	1,24	|	0.03280314757481939
137		|	1,21		|	1,23	|	0.021857769423559104
138		|	1,32		|	1,21	|	0.10934373108286155
139		|	1,47		|	1,21	|	0.26148631476050843
140		|	1,39		|	1,13	|	0.2590599472990778
141		|	1,21		|	1,28	|	0.07280314757481943
142		|	1,39		|	1,28	|	0.10905994729907764
143		|	1,39		|	1,20	|	0.1890599472990777
144		|	1,39		|	1,24	|	0.14905994729907768
145		|	1,21		|	1,22	|	0.012803147574819373
146		|	1,21		|	1,23	|	0.022803147574819382
147		|	1,21		|	1,24	|	0.03280314757481939
148		|	1,88		|	1,25	|	0.626222222222222
149		|	1,40		|	1,16	|	0.24177009854429232
150		|	1,21		|	1,22	|	0.012803147574819373
151		|	1,39		|	1,24	|	0.14905994729907768
152		|	1,39		|	1,23	|	0.1590599472990777
153		|	1,21		|	1,20	|	0.013446852425180511
154		|	1,21		|	1,26	|	0.04655314757481954
155		|	1,23		|	1,19	|	0.0391587837837839
156		|	1,21		|	1,24	|	0.03185776942355911
