Mean Square Error (MSE) = 4903.457493220719
Average Difference = 28.20477357462049

ROW		|	PREDICTION	|	TARGET	|	ERROR
1		|	101,945		|	89,750	|	12,195
2		|	101,945		|	158,150	|	56,205
3		|	101,945		|	212,000	|	110,055
4		|	101,945		|	379,630	|	277,685
5		|	101,945		|	401,470	|	299,525
6		|	101,945		|	288,550	|	186,605
7		|	81,731		|	442,700	|	360,969
8		|	81,731		|	418,870	|	337,139
9		|	81,731		|	416,950	|	335,219
10		|	81,731		|	389,040	|	307,309
11		|	81,731		|	441,060	|	359,329
12		|	121,115		|	384,750	|	263,635
13		|	121,115		|	202,380	|	81,265
14		|	121,115		|	194,550	|	73,435
15		|	121,115		|	179,370	|	58,255
16		|	87,657		|	160,030	|	72,373
17		|	87,657		|	149,450	|	61,793
18		|	87,657		|	141,770	|	54,113
19		|	57,431		|	86,890	|	29,459
20		|	57,431		|	69,100	|	11,669
21		|	12,817		|	67,390	|	54,573
22		|	12,817		|	71,180	|	58,363
23		|	12,817		|	88,550	|	75,733
24		|	12,817		|	42,150	|	29,333
25		|	12,817		|	27,260	|	14,443
26		|	12,817		|	23,120	|	10,303
27		|	12,194		|	20,130	|	7,936
28		|	6,862		|	16,700	|	9,838
29		|	6,862		|	13,380	|	6,518
30		|	4,376		|	9,780	|	5,404
31		|	4,376		|	6,450	|	2,074
32		|	3,394		|	4,470	|	1,076
33		|	,601		|	2,420	|	1,819
34		|	,323		|	1,350	|	1,027
35		|	,323		|	1,240	|	,917
36		|	,611		|	1,190	|	,579
37		|	2,612		|	1,220	|	1,392
38		|	1,608		|	1,210	|	,398
39		|	1,710		|	1,250	|	,460
40		|	1,410		|	1,240	|	,170
41		|	1,152		|	1,210	|	,058
42		|	1,100		|	1,230	|	,130
43		|	1,100		|	1,210	|	,110
44		|	1,100		|	1,230	|	,130
45		|	1,100		|	1,200	|	,100
46		|	1,100		|	1,230	|	,130
47		|	1,100		|	1,240	|	,140
48		|	1,152		|	1,200	|	,048
49		|	1,100		|	1,240	|	,140
50		|	1,100		|	1,250	|	,150
51		|	1,100		|	1,220	|	,120
52		|	1,100		|	1,220	|	,120
53		|	1,100		|	1,220	|	,120
54		|	1,100		|	1,190	|	,090
55		|	1,100		|	1,260	|	,160
56		|	1,100		|	1,220	|	,120
57		|	1,100		|	1,200	|	,100
58		|	1,100		|	1,270	|	,170
59		|	1,100		|	1,250	|	,150
60		|	1,100		|	1,200	|	,100
61		|	1,100		|	1,170	|	,070
62		|	1,152		|	1,240	|	,088
63		|	1,100		|	1,200	|	,100
64		|	1,152		|	1,190	|	,038
65		|	1,100		|	1,230	|	,130
66		|	1,152		|	1,170	|	,018
67		|	1,100		|	1,170	|	,070
68		|	1,100		|	1,270	|	,170
69		|	1,100		|	1,210	|	,110
70		|	1,100		|	1,190	|	,090
71		|	1,100		|	1,220	|	,120
72		|	1,100		|	1,200	|	,100
73		|	1,100		|	1,200	|	,100
74		|	1,100		|	1,180	|	,080
75		|	1,100		|	1,190	|	,090
76		|	1,152		|	1,220	|	,068
77		|	1,152		|	1,190	|	,038
78		|	1,152		|	1,240	|	,088
79		|	1,100		|	1,220	|	,120
80		|	1,152		|	1,230	|	,078
81		|	1,100		|	1,210	|	,110
82		|	1,100		|	1,230	|	,130
83		|	1,100		|	1,200	|	,100
84		|	1,100		|	1,210	|	,110
85		|	1,100		|	1,240	|	,140
86		|	1,100		|	1,210	|	,110
87		|	1,100		|	1,260	|	,160
88		|	1,100		|	1,280	|	,180
89		|	1,100		|	1,230	|	,130
90		|	1,100		|	1,230	|	,130
91		|	1,100		|	1,190	|	,090
92		|	1,100		|	1,160	|	,060
93		|	1,100		|	1,220	|	,120
94		|	1,100		|	1,220	|	,120
95		|	1,100		|	1,230	|	,130
96		|	1,100		|	1,220	|	,120
97		|	1,152		|	1,230	|	,078
98		|	1,100		|	1,230	|	,130
99		|	1,100		|	1,240	|	,140
100		|	1,100		|	1,200	|	,100
101		|	1,100		|	1,220	|	,120
102		|	1,100		|	1,200	|	,100
103		|	1,100		|	1,200	|	,100
104		|	1,100		|	1,230	|	,130
105		|	1,100		|	1,210	|	,110
106		|	1,100		|	1,230	|	,130
107		|	1,100		|	1,230	|	,130
108		|	1,100		|	1,250	|	,150
109		|	1,100		|	1,220	|	,120
110		|	1,100		|	1,220	|	,120
111		|	1,100		|	1,200	|	,100
112		|	1,100		|	1,200	|	,100
113		|	1,079		|	1,180	|	,101
114		|	1,079		|	1,220	|	,141
115		|	1,079		|	1,210	|	,131
116		|	1,079		|	1,210	|	,131
117		|	1,079		|	1,240	|	,161
118		|	1,079		|	1,200	|	,121
119		|	1,079		|	1,240	|	,161
120		|	1,079		|	1,200	|	,121
121		|	1,079		|	1,220	|	,141
122		|	1,079		|	1,240	|	,161
123		|	1,079		|	1,220	|	,141
124		|	1,079		|	1,200	|	,121
125		|	1,079		|	1,200	|	,121
126		|	1,079		|	1,190	|	,111
127		|	1,079		|	1,220	|	,141
128		|	1,079		|	1,230	|	,151
129		|	1,079		|	1,200	|	,121
130		|	1,079		|	1,230	|	,151
131		|	1,079		|	1,220	|	,141
132		|	1,079		|	1,210	|	,131
133		|	1,079		|	1,230	|	,151
134		|	1,079		|	1,240	|	,161
135		|	1,079		|	1,190	|	,111
136		|	1,079		|	1,240	|	,161
137		|	1,079		|	1,230	|	,151
138		|	1,079		|	1,210	|	,131
139		|	1,079		|	1,210	|	,131
140		|	1,079		|	1,130	|	,051
141		|	1,079		|	1,280	|	,201
142		|	1,079		|	1,280	|	,201
143		|	1,079		|	1,200	|	,121
144		|	1,079		|	1,240	|	,161
145		|	1,079		|	1,220	|	,141
146		|	1,079		|	1,230	|	,151
147		|	1,079		|	1,240	|	,161
148		|	1,079		|	1,250	|	,171
149		|	1,079		|	1,160	|	,081
150		|	1,079		|	1,220	|	,141
151		|	1,079		|	1,240	|	,161
152		|	1,079		|	1,230	|	,151
153		|	1,079		|	1,200	|	,121
154		|	1,079		|	1,260	|	,181
155		|	1,079		|	1,190	|	,111
156		|	1,079		|	1,240	|	,161
157		|	1,079		|	1,240	|	,161
158		|	1,079		|	1,250	|	,171
159		|	1,079		|	1,220	|	,141
160		|	1,079		|	1,240	|	,161
161		|	1,079		|	1,230	|	,151
162		|	1,079		|	1,180	|	,101
163		|	1,079		|	1,230	|	,151
164		|	1,079		|	1,190	|	,111
165		|	1,079		|	1,240	|	,161
166		|	1,079		|	1,230	|	,151
167		|	1,079		|	1,190	|	,111
168		|	1,079		|	1,200	|	,121
169		|	1,079		|	1,200	|	,121
170		|	1,079		|	1,240	|	,161
171		|	1,079		|	1,200	|	,121
172		|	1,079		|	1,210	|	,131
173		|	1,079		|	1,180	|	,101
174		|	1,079		|	1,300	|	,221
175		|	1,079		|	1,230	|	,151
176		|	1,079		|	1,210	|	,131
177		|	1,079		|	1,240	|	,161
178		|	1,079		|	1,230	|	,151
179		|	1,079		|	1,220	|	,141
180		|	1,079		|	1,250	|	,171
181		|	1,259		|	1,220	|	,039
182		|	1,259		|	1,210	|	,049
183		|	1,259		|	1,240	|	,019
184		|	1,259		|	1,250	|	,009
185		|	2,335		|	1,220	|	1,115
186		|	1,810		|	1,690	|	,120
187		|	3,250		|	2,360	|	,890
188		|	3,170		|	3,480	|	,310
189		|	5,866		|	5,730	|	,136
190		|	10,258		|	7,660	|	2,598
191		|	8,737		|	9,370	|	,633
192		|	26,351		|	12,280	|	14,071
193		|	36,122		|	16,980	|	19,142
194		|	36,122		|	23,120	|	13,002
195		|	36,122		|	33,850	|	2,272
196		|	36,122		|	37,300	|	1,178
197		|	47,497		|	30,610	|	16,887
198		|	47,497		|	25,360	|	22,137
199		|	47,497		|	26,350	|	21,147
200		|	47,497		|	33,720	|	13,777
201		|	47,497		|	40,010	|	7,487
202		|	69,282		|	46,730	|	22,552
203		|	69,282		|	59,190	|	10,092
204		|	69,282		|	72,760	|	3,478
205		|	69,282		|	85,240	|	15,958
206		|	91,267		|	85,060	|	6,207
207		|	91,267		|	85,170	|	6,097
208		|	91,267		|	79,280	|	11,987
209		|	101,945		|	80,060	|	21,885
210		|	101,945		|	111,550	|	9,605
211		|	101,945		|	125,560	|	23,615
212		|	101,945		|	136,410	|	34,465
213		|	101,945		|	130,190	|	28,245
214		|	101,945		|	131,050	|	29,105
215		|	101,945		|	142,350	|	40,405
216		|	101,945		|	135,190	|	33,245
217		|	101,945		|	153,130	|	51,185
218		|	101,945		|	133,190	|	31,245
219		|	101,945		|	111,330	|	9,385
220		|	101,945		|	104,420	|	2,475
221		|	101,945		|	89,210	|	12,735
222		|	101,945		|	106,760	|	4,815
223		|	101,945		|	137,470	|	35,525
224		|	101,945		|	143,140	|	41,195
225		|	101,945		|	166,440	|	64,495
226		|	101,945		|	153,760	|	51,815
227		|	101,945		|	146,610	|	44,665
228		|	101,945		|	150,560	|	48,615
229		|	101,945		|	159,350	|	57,405
230		|	101,945		|	177,190	|	75,245
231		|	101,945		|	188,450	|	86,505
232		|	101,945		|	193,050	|	91,105
233		|	101,945		|	205,230	|	103,285
234		|	101,945		|	212,660	|	110,715
235		|	101,945		|	218,090	|	116,145
236		|	101,945		|	146,700	|	44,755
237		|	101,945		|	114,920	|	12,975
238		|	101,945		|	130,330	|	28,385
239		|	101,945		|	119,670	|	17,725
240		|	101,945		|	103,670	|	1,725
241		|	101,945		|	99,540	|	2,405
242		|	101,945		|	79,930	|	22,015
243		|	69,185		|	96,320	|	27,135
244		|	69,185		|	90,760	|	21,575
245		|	101,945		|	101,230	|	,715
246		|	101,945		|	106,510	|	4,565
247		|	101,945		|	103,950	|	2,005
248		|	101,945		|	103,340	|	1,395
249		|	101,945		|	105,140	|	3,195
250		|	101,945		|	106,150	|	4,205
251		|	101,945		|	102,880	|	,935
252		|	101,945		|	137,510	|	35,565
253		|	101,945		|	168,850	|	66,905
254		|	69,185		|	165,000	|	95,815
255		|	69,185		|	173,920	|	104,735
256		|	101,945		|	159,520	|	57,575
257		|	69,185		|	132,980	|	63,795
258		|	69,185		|	127,930	|	58,745
259		|	69,185		|	102,280	|	33,095
260		|	101,945		|	98,370	|	3,575
261		|	69,185		|	85,740	|	16,555
262		|	69,185		|	75,180	|	5,995
263		|	101,945		|	62,790	|	39,155
264		|	101,945		|	44,180	|	57,765
265		|	101,945		|	39,110	|	62,835
266		|	69,185		|	28,930	|	40,255
267		|	69,185		|	26,630	|	42,555
268		|	69,185		|	23,170	|	46,015
269		|	69,185		|	21,500	|	47,685
270		|	69,185		|	17,060	|	52,125
271		|	69,185		|	16,140	|	53,045
272		|	69,185		|	14,430	|	54,755
273		|	69,185		|	13,130	|	56,055
274		|	69,185		|	12,870	|	56,315
275		|	69,185		|	10,900	|	58,285
276		|	69,185		|	10,240	|	58,945
277		|	69,185		|	12,100	|	57,085
278		|	69,185		|	13,440	|	55,745
279		|	69,185		|	13,690	|	55,495
280		|	69,185		|	10,370	|	58,815
281		|	69,185		|	9,950	|	59,235
282		|	69,185		|	10,100	|	59,085
283		|	69,185		|	11,800	|	57,385
284		|	69,185		|	14,920	|	54,265
285		|	69,185		|	13,800	|	55,385
286		|	69,185		|	13,040	|	56,145
287		|	69,185		|	11,620	|	57,565
288		|	69,185		|	10,410	|	58,775
289		|	69,185		|	9,400	|	59,785
290		|	69,185		|	8,520	|	60,665
291		|	69,185		|	8,650	|	60,535
292		|	69,185		|	9,270	|	59,915
293		|	69,185		|	9,630	|	59,555
294		|	69,185		|	9,660	|	59,525
295		|	81,731		|	8,850	|	72,881
296		|	81,731		|	7,490	|	74,241
297		|	81,731		|	8,700	|	73,031
298		|	81,731		|	9,950	|	71,781
299		|	81,731		|	10,420	|	71,311
300		|	121,115		|	8,940	|	112,175
301		|	121,115		|	8,100	|	113,015
302		|	121,115		|	7,310	|	113,805
303		|	121,115		|	7,010	|	114,105
304		|	87,657		|	6,670	|	80,987
305		|	87,657		|	6,710	|	80,947
306		|	87,657		|	7,110	|	80,547
307		|	68,399		|	7,240	|	61,159
308		|	36,115		|	7,330	|	28,785
309		|	36,115		|	7,460	|	28,655
310		|	12,817		|	6,660	|	6,157
311		|	36,115		|	5,170	|	30,945
312		|	36,115		|	4,230	|	31,885
313		|	36,115		|	4,060	|	32,055
314		|	36,115		|	4,180	|	31,935
315		|	15,228		|	2,750	|	12,478
316		|	15,228		|	2,030	|	13,198
317		|	9,435		|	1,490	|	7,945
318		|	9,180		|	1,460	|	7,720
319		|	9,180		|	1,190	|	7,990
320		|	6,387		|	1,180	|	5,207
321		|	4,279		|	1,220	|	3,059
322		|	4,279		|	1,220	|	3,059
323		|	4,567		|	1,210	|	3,357
324		|	5,405		|	1,170	|	4,235
325		|	1,650		|	1,240	|	,410
326		|	1,710		|	1,210	|	,500
327		|	1,710		|	1,250	|	,460
328		|	1,410		|	1,190	|	,220
329		|	1,100		|	1,200	|	,100
330		|	1,100		|	1,190	|	,090
331		|	1,152		|	1,210	|	,058
332		|	1,152		|	1,200	|	,048
333		|	1,152		|	1,190	|	,038
334		|	1,152		|	1,200	|	,048
335		|	1,100		|	1,200	|	,100
336		|	1,100		|	1,220	|	,120
337		|	1,100		|	1,210	|	,110
338		|	1,100		|	1,210	|	,110
339		|	1,152		|	1,200	|	,048
340		|	1,152		|	1,210	|	,058
341		|	1,152		|	1,210	|	,058
342		|	1,152		|	1,200	|	,048
343		|	1,100		|	1,210	|	,110
344		|	1,100		|	1,200	|	,100
345		|	1,100		|	1,170	|	,070
346		|	1,100		|	1,240	|	,140
347		|	1,100		|	1,210	|	,110
348		|	1,100		|	1,200	|	,100
349		|	1,152		|	1,180	|	,028
350		|	1,152		|	1,210	|	,058
351		|	1,152		|	1,220	|	,068
352		|	1,152		|	1,200	|	,048
353		|	1,152		|	1,210	|	,058
354		|	1,152		|	1,190	|	,038
355		|	1,100		|	1,220	|	,120
356		|	1,152		|	1,200	|	,048
357		|	1,100		|	1,210	|	,110
358		|	1,100		|	1,210	|	,110
359		|	1,100		|	1,210	|	,110
360		|	1,100		|	1,220	|	,120
361		|	1,100		|	1,200	|	,100
362		|	1,100		|	1,210	|	,110
363		|	1,152		|	1,200	|	,048
364		|	1,152		|	1,240	|	,088
365		|	1,100		|	1,190	|	,090
366		|	1,152		|	1,180	|	,028
367		|	1,152		|	1,190	|	,038
368		|	1,100		|	1,190	|	,090
369		|	1,152		|	1,190	|	,038
370		|	1,152		|	1,210	|	,058
371		|	1,152		|	1,210	|	,058
372		|	1,100		|	1,200	|	,100
373		|	1,100		|	1,170	|	,070
374		|	1,100		|	1,170	|	,070
375		|	1,100		|	1,210	|	,110
376		|	1,100		|	1,200	|	,100
377		|	1,100		|	1,220	|	,120
378		|	1,100		|	1,220	|	,120
379		|	1,100		|	1,210	|	,110
380		|	1,100		|	1,210	|	,110
381		|	1,100		|	1,210	|	,110
382		|	1,100		|	1,200	|	,100
383		|	1,100		|	1,190	|	,090
384		|	1,100		|	1,240	|	,140
385		|	1,100		|	1,180	|	,080
386		|	1,100		|	1,180	|	,080
387		|	1,100		|	1,180	|	,080
388		|	1,100		|	1,170	|	,070
389		|	1,152		|	1,210	|	,058
390		|	1,152		|	1,170	|	,018
391		|	1,152		|	1,230	|	,078
392		|	1,152		|	1,210	|	,058
393		|	1,152		|	1,190	|	,038
394		|	1,152		|	1,180	|	,028
395		|	1,152		|	1,200	|	,048
396		|	1,100		|	1,200	|	,100
397		|	1,100		|	1,200	|	,100
398		|	1,152		|	1,200	|	,048
399		|	1,100		|	1,190	|	,090
400		|	1,100		|	1,200	|	,100
401		|	1,079		|	1,190	|	,111
402		|	1,079		|	1,190	|	,111
403		|	1,079		|	1,190	|	,111
404		|	1,079		|	1,210	|	,131
405		|	1,079		|	1,220	|	,141
406		|	1,079		|	1,200	|	,121
407		|	1,079		|	1,220	|	,141
408		|	1,079		|	1,210	|	,131
409		|	1,079		|	1,210	|	,131
410		|	1,079		|	1,210	|	,131
411		|	1,079		|	1,220	|	,141
412		|	1,079		|	1,240	|	,161
413		|	1,079		|	1,190	|	,111
414		|	1,079		|	1,170	|	,091
415		|	1,079		|	1,180	|	,101
416		|	1,079		|	1,210	|	,131
417		|	1,079		|	1,220	|	,141
418		|	1,079		|	1,200	|	,121
419		|	1,079		|	1,190	|	,111
420		|	1,079		|	1,220	|	,141
421		|	1,079		|	1,200	|	,121
422		|	1,079		|	1,230	|	,151
423		|	1,079		|	1,220	|	,141
424		|	1,079		|	1,200	|	,121
425		|	1,079		|	1,210	|	,131
426		|	1,079		|	1,230	|	,151
427		|	1,079		|	1,220	|	,141
428		|	1,079		|	1,220	|	,141
429		|	1,079		|	1,180	|	,101
430		|	1,079		|	1,250	|	,171
431		|	1,079		|	1,240	|	,161
432		|	1,079		|	1,210	|	,131
433		|	1,079		|	1,190	|	,111
434		|	1,079		|	1,230	|	,151
435		|	1,079		|	1,230	|	,151
436		|	1,079		|	1,180	|	,101
437		|	1,079		|	1,230	|	,151
438		|	1,079		|	1,190	|	,111
439		|	1,079		|	1,200	|	,121
440		|	1,079		|	1,200	|	,121
441		|	1,079		|	1,200	|	,121
442		|	1,079		|	1,210	|	,131
443		|	1,079		|	1,210	|	,131
444		|	1,079		|	1,240	|	,161
445		|	1,079		|	1,180	|	,101
446		|	1,079		|	1,200	|	,121
447		|	1,079		|	1,220	|	,141
448		|	1,079		|	1,220	|	,141
449		|	1,079		|	1,220	|	,141
450		|	1,079		|	1,190	|	,111
451		|	1,079		|	1,230	|	,151
452		|	1,079		|	1,210	|	,131
453		|	1,079		|	1,230	|	,151
454		|	1,079		|	1,200	|	,121
455		|	1,079		|	1,230	|	,151
456		|	1,079		|	1,210	|	,131
457		|	1,079		|	1,210	|	,131
458		|	1,079		|	1,210	|	,131
459		|	1,079		|	1,210	|	,131
460		|	1,079		|	1,220	|	,141
461		|	1,079		|	1,230	|	,151
462		|	1,079		|	1,220	|	,141
463		|	1,079		|	1,220	|	,141
464		|	1,079		|	1,210	|	,131
465		|	1,079		|	1,210	|	,131
466		|	1,079		|	1,190	|	,111
467		|	1,079		|	1,200	|	,121
468		|	1,079		|	1,210	|	,131
469		|	1,259		|	1,200	|	,059
470		|	1,259		|	1,210	|	,049
471		|	1,259		|	1,220	|	,039
472		|	1,259		|	1,220	|	,039
473		|	2,335		|	1,370	|	,965
474		|	1,810		|	1,990	|	,180
475		|	3,250		|	2,560	|	,690
476		|	3,170		|	3,280	|	,110
477		|	5,866		|	5,790	|	,076
478		|	24,321		|	13,780	|	10,541
479		|	23,634		|	16,980	|	6,654
480		|	34,087		|	18,720	|	15,367
481		|	36,122		|	33,430	|	2,692
482		|	36,122		|	33,090	|	3,032
483		|	36,122		|	30,640	|	5,482
484		|	47,497		|	42,480	|	5,017
485		|	47,497		|	36,700	|	10,797
486		|	47,497		|	48,330	|	,833
487		|	47,497		|	52,950	|	5,453
488		|	47,497		|	53,540	|	6,043
489		|	47,497		|	65,250	|	17,753
490		|	69,282		|	101,310	|	32,028
491		|	69,282		|	111,770	|	42,488
492		|	69,282		|	92,730	|	23,448
493		|	91,267		|	78,000	|	13,267
494		|	91,267		|	70,930	|	20,337
495		|	91,267		|	90,830	|	,437
496		|	91,267		|	69,010	|	22,257
