Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed
235526,1.21,48,30.46,59,177.39,5.62
235023,1.21,48,30.46,58,176.78,3.37
234526,1.23,48,30.46,57,158.75,3.37
234021,1.21,48,30.46,60,137.71,3.37
233524,1.17,48,30.46,62,104.95,5.62
233024,1.21,48,30.46,64,120.2,5.62
232519,1.2,49,30.46,72,112.45,6.75
232022,1.24,49,30.46,71,122.97,5.62
231522,1.23,49,30.46,80,101.18,4.5
231022,1.21,49,30.46,85,141.87,4.5
230523,1.23,49,30.47,93,120.55,2.25
230025,1.21,49,30.47,98,144.19,3.37
225520,1.22,49,30.47,99,139.8,6.75
225019,1.21,50,30.47,99,140.92,2.25
224531,1.23,50,30.47,99,147.61,5.62
224023,1.22,50,30.47,99,113.78,4.5
223519,1.21,50,30.47,99,123.03,10.12
223022,1.22,50,30.47,99,173.73,6.75
222519,1.22,50,30.47,98,91.43,6.75
222022,1.2,50,30.47,98,109.74,6.75
221522,1.2,50,30.47,98,143.53,2.25
221021,1.2,50,30.47,97,146.76,5.62
220520,1.21,50,30.47,97,158.35,4.5
220026,1.22,50,30.47,97,166.05,5.62
215520,1.22,50,30.47,96,151.82,5.62
215032,1.22,50,30.47,96,152.52,6.75
214528,1.24,50,30.47,95,127.82,7.87
214020,1.23,50,30.47,95,157.58,6.75
213521,1.23,50,30.47,95,172.96,7.87
213021,1.23,50,30.47,95,143.82,6.75
212522,1.24,50,30.47,94,154.03,5.62
212021,1.2,50,30.47,93,165.93,4.5
211523,1.24,50,30.47,93,139.82,7.87
211020,1.21,49,30.47,93,166.07,9
210526,1.24,50,30.47,93,116.16,5.62
210020,1.2,50,30.47,92,157.48,4.5
205518,1.19,50,30.47,91,112.27,7.87
205020,1.25,50,30.47,90,133.69,6.75
204524,1.25,50,30.47,88,140.64,6.75
204019,1.23,50,30.47,87,52.89,1.12
203519,1.21,50,30.47,86,132.66,4.5
203018,1.25,50,30.46,85,138.35,5.62
202520,1.23,50,30.46,84,109.87,3.37
202023,1.23,50,30.47,81,123.25,3.37
201520,1.26,50,30.46,75,158.64,4.5
201022,1.17,50,30.46,70,165.22,5.62
200522,1.22,50,30.46,63,160.51,3.37
200018,1.22,50,30.46,51,155.36,4.5
195523,1.22,50,30.46,47,157.78,6.75
195022,1.24,50,30.46,46,151.6,3.37
194525,1.25,50,30.46,47,105.78,4.5
194022,1.19,50,30.46,48,135.55,4.5
193522,1.19,50,30.46,56,140.92,4.5
193020,1.23,50,30.46,57,165,4.5
192521,1.19,51,30.46,55,126.63,3.37
192020,1.23,51,30.46,54,119.97,4.5
191522,1.22,51,30.45,53,95.57,2.25
191024,1.24,51,30.45,51,100.02,4.5
190520,1.24,51,30.45,51,111.73,2.25
190024,1.23,51,30.45,52,145.77,5.62
185519,1.23,51,30.45,51,105.89,6.75
185024,1.24,51,30.45,52,120.86,5.62
184519,1.23,51,30.44,55,170.11,5.62
184021,1.21,52,30.44,55,107.15,5.62
183521,1.24,52,30.44,55,129.29,6.75
183023,1.18,52,30.45,59,158.73,3.37
182519,1.52,52,30.44,59,211.38,2.25
182023,5.07,53,30.44,61,174.97,4.5
181521,6.16,53,30.44,62,120.78,7.87
181052,6.63,53,30.44,59,118.82,5.62
180522,10.96,54,30.44,59,154.16,4.5
180022,19.42,55,30.44,57,58.42,6.75
175522,27.14,55,30.44,53,47.86,4.5
175019,33.75,56,30.44,52,74.56,2.25
174522,49.57,56,30.44,49,25.72,6.75
174022,59.62,56,30.44,50,102.11,2.25
173538,87.23,56,30.44,48,67.49,3.37
173025,109.93,56,30.43,49,180.29,2.25
172525,130.82,57,30.43,57,150.2,2.25
172025,160.52,57,30.43,55,47.3,5.62
171520,191.37,58,30.43,52,333.81,1.12
171020,207.05,58,30.43,49,41.62,4.5
170522,240.99,58,30.43,45,132.36,5.62
170024,274.83,58,30.43,41,332.09,4.5
165525,300.94,58,30.43,55,45.88,3.37
165022,322.71,58,30.43,56,94.24,7.87
164538,346.59,58,30.43,50,81.57,6.75
164020,364.18,58,30.43,49,351.03,7.87
163541,368.35,58,30.43,51,78.81,5.62
163022,362.84,58,30.43,46,85.96,5.62
162521,423.9,59,30.43,48,19.78,4.5
162025,457.69,58,30.43,59,18.26,4.5
161523,511.38,58,30.43,52,69.08,3.37
161022,566.83,58,30.43,52,40.87,4.5
160520,187.96,58,30.43,49,0.13,4.5
160020,310.59,59,30.43,58,27.34,9
155522,230.26,59,30.43,46,359.93,3.37
155021,623.31,60,30.43,46,22.18,7.87
154522,312.1,60,30.43,48,4.38,10.12
154024,803.72,60,30.43,44,355.03,7.87
153519,671.97,60,30.42,47,0.4,7.87
153020,670.32,60,30.42,51,53.16,4.5
152521,679.73,60,30.42,48,353.87,9
152024,687.62,60,30.43,54,2.04,4.5
151518,697.66,61,30.42,53,34.85,11.25
151021,716.27,61,30.42,44,11.08,7.87
150523,744.43,61,30.43,50,1.6,5.62
150210,612.34,61,30.42,53,345.21,7.87
145521,760.9,61,30.42,50,165.42,4.5
145021,773.71,61,30.42,57,30.3,6.75
144518,790.08,61,30.42,59,34.24,3.37
144023,804.28,61,30.42,59,19.11,7.87
143524,818.82,61,30.42,53,84.61,6.75
143019,855.63,62,30.42,51,31.88,5.62
142520,875.16,62,30.42,58,149.48,3.37
142021,867.9,62,30.42,54,62.54,3.37
141527,872.67,62,30.43,58,39.59,5.62
141020,890.52,62,30.43,50,122.13,4.5
140019,911.06,62,30.43,53,65.07,7.87
135520,925.16,62,30.43,49,69.79,7.87
135020,933.15,62,30.43,47,346.87,5.62
134521,942.73,62,30.43,53,359.93,5.62
134021,955.74,62,30.43,50,9.92,4.5
133521,959.47,62,30.43,54,19.98,9
133020,970.22,62,30.43,57,0.9,6.75
132518,974.87,62,30.43,54,19.13,11.25
132020,985.22,62,30.44,53,61.93,7.87
131525,992.19,62,30.43,50,63.35,10.12
131022,997.26,62,30.44,56,171.18,7.87
130522,1004.6,62,30.44,54,45.65,7.87
130019,1007.96,63,30.44,54,15.92,11.25
125522,1013.59,63,30.44,54,130.14,9
125020,1020.55,62,30.44,51,21.54,10.12
124519,1025.63,62,30.44,45,70.89,15.75
124020,1029.41,63,30.45,46,59.62,12.37
123520,1034.46,63,30.45,43,79.08,7.87
123019,1033.54,63,30.45,43,359.46,5.62
122521,1039.06,63,30.45,40,59.89,4.5
122020,1039.67,63,30.45,39,40.66,6.75
121520,1037.76,64,30.46,41,20.44,14.62
121024,1039.52,64,30.45,41,40.4,13.5
120520,1040.14,63,30.45,41,117.62,4.5
120027,1039.22,63,30.46,42,354.78,1.12
115520,1035.99,63,30.46,41,35.68,4.5
115020,1033.49,63,30.46,39,350,5.62
114518,1029.15,63,30.46,41,14.63,9
114020,1025.51,63,30.46,41,349.53,2.25
113519,1023.78,63,30.46,41,31.9,9
113022,1017.57,63,30.47,37,339.83,3.37
112520,1013.93,63,30.47,34,67.14,11.25
112021,1009.36,63,30.47,34,61.67,9
111522,1002.89,63,30.47,33,32.74,6.75
111156,999.19,63,30.47,31,4.51,6.75
110522,987.02,62,30.47,36,38.9,10.12
110023,981.66,63,30.47,40,28.85,7.87
105521,973.79,63,30.47,35,114.97,5.62
105022,964.46,63,30.47,37,60.94,6.75
104520,957.02,62,30.47,40,37.85,7.87
104022,946.32,62,30.47,44,38.03,11.25
103522,933.08,62,30.47,45,37.37,11.25
103021,926.79,62,30.47,43,10.44,5.62
102519,915.84,62,30.47,42,5.51,11.25
102019,901.65,62,30.47,42,24.74,9
101523,899.53,61,30.47,46,37.67,7.87
101020,878.76,62,30.47,49,61.93,7.87
100523,867.98,61,30.47,44,359.93,6.75
100025,855.89,62,30.47,41,26.99,7.87
095521,841.52,61,30.47,42,21.37,9
095022,830.19,62,30.47,38,52.73,10.12
094519,815.1,62,30.47,39,61.67,6.75
094020,799.29,62,30.47,41,42.59,5.62
093525,785.6,61,30.47,41,37.83,7.87
093021,768.39,61,30.47,45,7.14,7.87
092519,754.06,61,30.47,44,186.9,4.5
092022,738.75,61,30.47,43,7.25,7.87
091523,722.23,61,30.46,44,33.19,11.25
091023,706.41,61,30.46,44,56.91,6.75
